,F,Train Loss,Test Loss,D11,D22,D11*,D22*,D12*,C1,C2,C3
0,1,0.001329730741381354,0.0013253364269621669,0.7849975444767385,0.7611997475845368,0.7856252837593698,0.7614150342859158,1.1872709458173119,1.0007996703773765,1.0002828255028489,0.6515110655640235
1,2,0.0013289358877591442,0.0013253103241731878,0.8152269406546906,0.7730557896040742,0.8109262971352149,0.775749479039206,1.1665955585852759,0.9947246057447243,1.0034844696480592,0.6800453526921421
2,3,0.0013321734144483345,0.0013280007847060915,0.7519562906135455,0.8189932863042435,0.7477349907835423,0.8199737218906475,1.1951964585724861,0.9943862430799549,1.001197122861444,0.6558372481067353
3,4,0.0013336841674754397,0.0013276464235968887,0.8569495069403784,0.7835070582626066,0.8529952259761354,0.7865540612684196,1.1495440866263755,0.9953856313210784,1.0038889285982562,0.7131302341157798
4,5,0.001330292251914216,0.001325054931949126,0.768290825166518,0.7458110845679989,0.7695914382107606,0.7475922089995046,1.1751173702881703,1.0016928655160768,1.0023881710373577,0.6455455793484743
5,6,0.0013299135285342344,0.001325837293989025,0.8141276161094334,0.7579320607125918,0.8171776266923608,0.7580691790401574,1.2189502974013555,1.0037463544075593,1.0001809111062496,0.6461489074208935
6,7,0.001375011639211152,0.001375167697260622,0.8160502729314072,0.8105162240235475,0.8142767234820705,0.8080978169989771,1.18756409283506,0.9978266664344516,0.9970162139228195,0.6830682024950624
7,8,0.0013761629040891419,0.0013750980475742837,0.8475398762003081,0.83443738206145,0.8470275203553145,0.8330889946733551,1.1663772378953472,0.99939547877406,0.9983840760048839,0.7202286106252946
8,9,0.001364334632162354,0.0013644085233681835,0.837390491379595,0.7588217182019388,0.8311084795422143,0.7607656399099945,1.1772713489390085,0.992498109422008,1.002561763404271,0.676086324910078
9,10,0.0013526289728179107,0.0013510579059948216,0.793506342383342,0.7753937203053117,0.7965000977840796,0.7731608120382205,1.1709452065497359,1.0037728184903296,0.9971202910100794,0.6702537834572999
10,11,0.0013390786748277606,0.001335161156603135,0.8629039439449616,0.7858548618727099,0.8621694711095472,0.787207768128465,1.1598775939701265,0.9991488359271409,1.0017215726737774,0.7110134930671371
11,12,0.0013951831015583593,0.0013962272876233326,0.9545546239149566,0.7921677869764074,0.9542821164593364,0.7917752069855714,1.1510677983783504,0.9997145187412088,0.9995044231824491,0.7584511207353692
12,13,0.0013462216717016417,0.0013447541605273727,0.7990695104942483,0.7191068865284946,0.7952098543735471,0.7251897976683837,1.1512111439362376,0.9951698117998345,1.0084589805129727,0.6603478693071709
13,14,0.0013851317454100353,0.001386899725475814,0.9652829741301808,0.7593546118991608,0.9657145612925793,0.7537355427785286,1.1333145165615455,1.0004471094735585,0.9926002041304803,0.7585935232206708
14,15,0.0013350044937396888,0.001332315969339106,0.7558144594637457,0.743993015070518,0.7543911064947239,0.7496430415433049,1.1587018404541165,0.9981167957939946,1.0075941929001193,0.6490168978451654
15,16,0.0013551287757218233,0.0013531120587140324,0.8179735295435573,0.7378091875264849,0.8188495582090659,0.7389395602227752,1.1300039495878829,1.0010709743455848,1.0015320664412974,0.6892848113495414
16,17,0.0013599337390769507,0.001358390950190369,0.8357992469062239,0.7146266457918745,0.8396601809866107,0.7148671197816864,1.1673542956753191,1.004619451494696,1.0003365029714857,0.665833546219572
17,18,0.0013909025089014902,0.001392526865383843,0.7892420874235272,0.8182493033481553,0.7875531184248825,0.8194350655655415,1.1403722530273157,0.9978600114900634,1.001449145404138,0.7045893039419345
18,19,0.0014170356831164099,0.0014179463242180647,0.8483181130345053,0.7781652880952428,0.8505567710696214,0.7720869846810765,1.1632240249580845,1.002638936975079,0.9921889301576989,0.6974768922130747
19,20,0.0013593719575146679,0.0013598508095310536,0.8630989718377816,0.7484605692956217,0.8632287214815607,0.7490697530196722,1.1442566249749122,1.0001503299714316,1.0008139155875957,0.704517867456779
