,"(Q,K,V)",Train Loss,Test Loss,D11,D22,D11*,D22*,D12*,C1,C2,C3
0,"(9, 6, 5)",1.6319103207024453e-05,1.6282224874885285e-05,0.5138053001647823,0.5691303324226887,0.5138053001647823,0.5691303324226887,1.48333966458441,1.0,1.0,0.36503292483953065
1,"(9, 6, 6)",1.08934293089078e-05,1.0879637480684324e-05,0.504031412821568,0.5686684428346557,0.5040246943080735,0.5686715763580285,1.5005126415989858,0.9999866704468737,1.0000055102818035,0.3574432633646487
2,"(9, 7, 5)",1.1052005836972966e-05,1.103474696537887e-05,0.5211798440231739,0.5375421699025082,0.5212032200618775,0.5375312565380085,1.4538734627381602,1.0000448521541492,0.99997969765888,0.36410819226520336
3,"(9, 7, 6)",1.3343979922410652e-05,1.3308674166182756e-05,0.49889630531640194,0.5287947324440571,0.49886606336962624,0.5288180029423942,1.3963706875693953,0.9999393822995812,1.0000440066757654,0.36798397283061984
4,"(10, 6, 5)",1.5120488608772577e-05,1.5093558526132261e-05,0.5337096964508828,0.5210746777783556,0.5337196117211616,0.5210645473277403,1.4682692929532632,1.0000185780216186,0.9999805585436267,0.3591930186482749
5,"(10, 6, 6)",2.2222871395570107e-05,2.2187858528923246e-05,0.49701604610710565,0.560332625447668,0.49702697907601373,0.5603149073900007,1.4498682133232796,1.0000219972151678,0.999968379393127,0.36463379110934996
6,"(10, 7, 5)",1.119516824155653e-05,1.1177681346453026e-05,0.543047643030192,0.5658664752126569,0.5429858903113824,0.5659235485630848,1.479002506515325,0.9998862848967265,1.0001008601020347,0.37488423244365104
7,"(10, 7, 6)",1.5821246605810303e-05,1.5784938848810272e-05,0.5049981817477813,0.5602885031015561,0.5049697392013232,0.5602691713037993,1.4183273098117553,0.9999436779230378,0.9999654967081248,0.3755264751429288
