,Plate,Rubber,Water Bottle,Wallet,Toothbrush,Umbrella,Mouse,Television
Plate,0.0,0.9139628050223126,0.2971537061478567,1.0995391427994807,1.0394623896940163,0.9903466568555794,1.534879621239168,0.6264084557220346
Rubber,0.9139628050223126,0.0,1.0143768400934874,0.7081566363189863,0.8853862563997972,0.37204199160719187,1.1058323786788842,1.1994370370167236
Water Bottle,0.2971537061478567,1.0143768400934874,0.0,0.9459835763260102,0.673781891506051,1.0410567408731422,1.3590250301865572,0.9690951143295286
Wallet,1.0995391427994807,0.7081566363189863,0.9459835763260102,0.0,0.7667250194063504,0.7319853192925546,0.31407794994160415,1.065956275490582
Toothbrush,1.0394623896940163,0.8853862563997972,0.673781891506051,0.7667250194063504,0.0,1.3191549045417024,1.3208038935412203,0.8438843309506644
Umbrella,0.9903466568555794,0.37204199160719187,1.0410567408731422,0.7319853192925546,1.3191549045417024,0.0,1.1164526223168967,1.334764511521135
Mouse,1.534879621239168,1.1058323786788842,1.3590250301865572,0.31407794994160415,1.3208038935412203,1.1164526223168967,0.0,0.6811328052597098
Television,0.6264084557220346,1.1994370370167236,0.9690951143295286,1.065956275490582,0.8438843309506644,1.334764511521135,0.6811328052597098,0.0
