,Bed,Box,Tissue,Remote,Projector,Rice Cooker
Bed,0.0,0.7148794056592218,0.6350223237482286,0.8696078381310011,1.3304518037765316,0.850360471077863
Box,0.7148794056592218,0.0,1.000066772804563,1.0000419408597856,1.2228780052796677,1.1771649288099166
Tissue,0.6350223237482286,1.000066772804563,0.0,1.5599463425752425,1.0269478111279062,1.0001495341162474
Remote,0.8696078381310011,1.0000419408597856,1.5599463425752425,0.0,0.656810306652261,0.770168413997311
Projector,1.3304518037765316,1.2228780052796677,1.0269478111279062,0.656810306652261,0.0,1.025631632866284
Rice Cooker,0.850360471077863,1.1771649288099166,1.0001495341162474,0.770168413997311,1.025631632866284,0.0
