,Cup,Wallet,Toothbrush,Chopsticks,Smoke detector,Cable,Vending Machine,Microwave
Cup,0.0,0.9857295838651237,0.4804271801296617,1.0000303901576655,1.1770996600956893,1.2004475016480025,0.7083764337922485,0.8220988189369397
Wallet,0.9857295838651237,0.0,0.9114659987757157,0.8456531632567423,1.0067269119692448,1.010227024069558,1.2925522705018029,1.2397952994367611
Toothbrush,0.4804271801296617,0.9114659987757157,0.0,0.4257241265622199,1.4779312392752264,1.2674728327259548,1.1222003927235802,1.2642806244488038
Chopsticks,1.0000303901576655,0.8456531632567423,0.4257241265622199,0.0,1.2511513048758698,1.1129643640240825,0.9161415472442953,1.3514003907273597
Smoke detector,1.1770996600956893,1.0067269119692448,1.4779312392752264,1.2511513048758698,0.0,0.5302713338943748,1.1570566935196294,0.8815127494848518
Cable,1.2004475016480025,1.010227024069558,1.2674728327259548,1.1129643640240825,0.5302713338943748,0.0,1.0293516122001538,0.49815035010949915
Vending Machine,0.7083764337922485,1.2925522705018029,1.1222003927235802,0.9161415472442953,1.1570566935196294,1.0293516122001538,0.0,0.7407593318892978
Microwave,0.8220988189369397,1.2397952994367611,1.2642806244488038,1.3514003907273597,0.8815127494848518,0.49815035010949915,0.7407593318892978,0.0
