,Shoes,Bottle,Plate,Brush,Umbrella,Air Conditioner,Earphone,Battery
Shoes,0.0,0.9804752153199457,1.2524228479925756,0.5618125524157932,0.4127306347303314,0.9733642051456333,1.0001296521008167,1.394233622334005
Bottle,0.9804752153199457,0.0,0.3750987012220159,0.8276926218012955,1.4562177783816812,1.1105258067128811,1.4070569905007395,1.0482341249843337
Plate,1.2524228479925756,0.3750987012220159,0.0,0.8752106765021693,1.0236525604921711,1.0000188132276677,0.9978493477755992,0.9290162402425258
Brush,0.5618125524157932,0.8276926218012955,0.8752106765021693,0.0,1.3230413306996622,1.2429677091518232,1.0145633670175147,1.0000273195603835
Umbrella,0.4127306347303314,1.4562177783816812,1.0236525604921711,1.3230413306996622,0.0,1.0780136515064982,1.0000194293184261,1.2499219531788104
Air Conditioner,0.9733642051456333,1.1105258067128811,1.0000188132276677,1.2429677091518232,1.0780136515064982,0.0,1.3197530435313702,0.5150888601566895
Earphone,1.0001296521008167,1.4070569905007395,0.9978493477755992,1.0145633670175147,1.0000194293184261,1.3197530435313702,0.0,0.3215205362422744
Battery,1.394233622334005,1.0482341249843337,0.9290162402425258,1.0000273195603835,1.2499219531788104,0.5150888601566895,0.3215205362422744,0.0
