,"(Q,K,V)",Train Loss,Test Loss,D11,D22,D11*,D22*,D12*,C1,C2,C3
0,"(9, 6, 5)",8.072250419354532e-05,8.092048815742603e-05,0.517875347462075,0.602455096460197,0.5178753438203048,0.6024550997369446,1.4727888618905132,0.9999999929678633,1.0000000054389906,0.3803431953305111
1,"(9, 6, 6)",8.494791396260552e-05,8.516571592335821e-05,0.5375735120303522,0.6156063173278902,0.5375735120303522,0.6156063173278902,1.3955123975236743,1.0,1.0,0.4131743406237561
2,"(9, 7, 5)",8.065126716974191e-05,8.083772440149917e-05,0.5625887348832627,0.6343120241558964,0.5625887485556471,0.6343120103171636,1.45813391090986,1.0000000243026275,0.999999978183083,0.4104220983811964
3,"(9, 7, 6)",8.155193850288925e-05,8.172564190899721e-05,0.5492512179861494,0.6070909303120194,0.5492512176144277,0.6070909274316897,1.4330592334607093,0.999999999323221,0.9999999952555216,0.40345232005995135
4,"(10, 6, 5)",8.491047605712083e-05,8.512512312154289e-05,0.5627949422812668,0.5566427575826959,0.5627949603609623,0.5566427416119611,1.3872184248214616,1.0000000321248366,0.999999971308825,0.40348285531061834
5,"(10, 6, 6)",8.355829916436051e-05,8.37351625887095e-05,0.5316573913934419,0.6034506531821643,0.5316573998300543,0.6034506510785562,1.3853598415887591,1.0000000158685134,0.9999999965140347,0.4096798596409599
6,"(10, 7, 5)",8.09988173561578e-05,8.11782618635334e-05,0.5578902811814138,0.575063704113224,0.5578902844425292,0.5750636812669385,1.4366960627012135,1.0000000058454421,0.999999960271731,0.3942914563221315
7,"(10, 7, 6)",8.213079327688319e-05,8.229416947870048e-05,0.5304796935415669,0.598393220771572,0.5304796972672149,0.5983932179519302,1.4295570450302495,1.000000007023168,0.9999999952879784,0.394833112516772
