,"(Q,K,V)",Train Loss,Test Loss,D11,D22,D11*,D22*,D12*,C1,C2,C3
0,"(9, 6, 5)",0.00020984540750335632,0.00020998084180852552,0.1444950123849232,0.3861818788678713,0.14467534882065464,0.3860184959500272,0.9453613016164801,1.0012480460934599,0.9995769275391091,0.280683080565729
1,"(9, 6, 6)",0.0002103081719512071,0.0002105228179813518,0.1380974665905046,0.4159348396268523,0.138105969037881,0.4159262548350935,0.9591562168645017,1.0000615684529652,0.9999793602484309,0.2888122988370525
2,"(9, 7, 5)",0.00020935882399984013,0.0002095702593457341,0.13987308061085812,0.3724698719577743,0.14004333216743137,0.37228208432706095,0.9551463265049249,1.0012171860076986,0.9994958313548252,0.26819210956356576
3,"(9, 7, 6)",0.00021131507849834937,0.0002115635577016898,0.14172372566838967,0.35708760534729983,0.14173136094593344,0.357081069679421,0.9534877242985671,1.0000538743778273,0.9999816972984193,0.26157254986806755
4,"(10, 6, 5)",0.00020988101347090075,0.00021006204885876898,0.13765760959582513,0.418446196043279,0.1377001780013835,0.4184056346287503,0.9633521929650901,1.000309233944156,0.9999030665951508,0.2886305842718344
5,"(10, 6, 6)",0.00020965080548921832,0.00020982216841851676,0.1472823152800538,0.3786008737127508,0.14728934947857641,0.3785908341966154,0.9521481195914536,1.000047759967035,0.9999734825859302,0.27615460916986095
6,"(10, 7, 5)",0.00020962839877271716,0.0002098326653843591,0.13828350255737867,0.3942751351491427,0.13830512893442332,0.3942549717607629,0.9539678144132736,1.0001563915915108,0.9999488595993451,0.2791289667475474
7,"(10, 7, 6)",0.00020952586719492198,0.00020976340559718666,0.13892343140968647,0.4153317419882633,0.13895322926189027,0.41530697416244705,0.9699062019320969,1.0002144911905892,0.9999403661620042,0.2857287654827993
