,Mirror,Brush,Projector,Heat Sink
Mirror,0.0,0.5542392203462597,0.9510495957134876,1.3122062999492459
Brush,0.5542392203462597,0.0,1.2680754087190067,1.3582319065335486
Projector,0.9510495957134876,1.2680754087190067,0.0,1.7518367914186919
Heat Sink,1.3122062999492459,1.3582319065335486,1.7518367914186919,0.0
