,Bed,Box,Projector,Rice Cooker
Bed,0.0,0.7148511130907669,1.330449385094962,0.8503604837492216
Box,0.7148511130907669,0.0,1.2228470277581593,1.1771875746192828
Projector,1.330449385094962,1.2228470277581593,0.0,1.025634685670509
Rice Cooker,0.8503604837492216,1.1771875746192828,1.025634685670509,0.0
