,Bag,Marker Pen,Cup,Teapot,Scissors,Chopsticks,Motor,Microphone
Bag,0.0,0.4559178992834727,0.7902077077256751,1.2044957800346618,0.9019675364106838,1.0568150033230512,1.203192158853494,1.4096996903101304
Marker Pen,0.4559178992834727,0.0,1.100661408234201,1.2606267859701252,0.7716457175041992,0.9629703498202116,0.2936950516421406,0.8857916996402823
Cup,0.7902077077256751,1.100661408234201,0.0,1.00007874841779,0.8605820079783812,0.22778266638048247,1.1666844164285108,1.118189835315321
Teapot,1.2044957800346618,1.2606267859701252,1.00007874841779,0.0,1.0003337486474873,1.0000716344920306,1.2232595486870856,1.297174606914684
Scissors,0.9019675364106838,0.7716457175041992,0.8605820079783812,1.0003337486474873,0.0,0.674588194606429,0.889395317883568,1.501189074165817
Chopsticks,1.0568150033230512,0.9629703498202116,0.22778266638048247,1.0000716344920306,0.674588194606429,0.0,1.4349089373872153,1.2908126370326711
Motor,1.203192158853494,0.2936950516421406,1.1666844164285108,1.2232595486870856,0.889395317883568,1.4349089373872153,0.0,1.0732416928655109
Microphone,1.4096996903101304,0.8857916996402823,1.118189835315321,1.297174606914684,1.501189074165817,1.2908126370326711,1.0732416928655109,0.0
